,trackID,ar_cat,start_date,end_date,duration,landslideID,landslide_lat,landslide_lon,ivt,ivtdir,freeze,prec
30,6431.0,1.0,1981-01-28 00:00:00,1981-01-28 12:00:00,12.0,,,,244.6083712508865,271.1366008508976 degree,-609.3254,15.3277587890625
31,6431.0,2.0,1981-01-26 06:00:00,1981-01-28 00:00:00,42.0,,,,140.5529652193181,229.00979141178124 degree,-522.12744,50.50335693359375
32,6534.0,1.0,1981-02-02 00:00:00,1981-02-03 18:00:00,42.0,,,,208.27159615183749,168.63874752711612 degree,-698.9955,31.967529296875
33,6618.0,1.0,1981-02-12 06:00:00,1981-02-13 00:00:00,18.0,,,,171.1127538713782,251.94196875166728 degree,481.26837,20.21044921875
34,6624.0,1.0,1981-02-13 06:00:00,1981-02-14 00:00:00,18.0,,,,240.58399191477423,208.65298437164108 degree,25.158855,46.453369140625
35,6704.0,1.0,1981-02-22 06:00:00,1981-02-22 18:00:00,12.0,,,,129.20007054424093,226.35538568887307 degree,350.0158,14.491943359375
36,6718.0,1.0,1981-02-26 00:00:00,1981-02-26 18:00:00,18.0,,,,202.17506365818807,259.4747562815623 degree,26.673134,18.81494140625
37,6718.0,2.0,1981-02-24 12:00:00,1981-02-26 00:00:00,36.0,,,,164.4991308594591,230.3698701486115 degree,-231.5607,11.67333984375
38,9350.0,1.0,1981-12-26 12:00:00,1981-12-26 18:00:00,6.0,,,,83.59987036518345,258.39099410442924 degree,56.22932,4.601318359375
39,9515.0,1.0,1982-01-17 12:00:00,1982-01-18 12:00:00,24.0,,,,211.51648766405225,205.52775331060346 degree,234.5928,10.2664794921875
40,9605.0,1.0,1982-01-29 00:00:00,1982-01-30 00:00:00,24.0,,,,213.94311593010076,221.47436422565912 degree,-658.3824,17.44720458984375
41,9605.0,3.0,1982-01-30 00:00:00,1982-01-30 06:00:00,6.0,,,,98.5617495453735,259.4046144806482 degree,-239.70743,7.533203125
42,9621.0,1.0,1982-02-02 00:00:00,1982-02-02 12:00:00,12.0,,,,165.1375764010083,237.69827235619803 degree,-551.1175,6.65771484375
43,9621.0,2.0,1982-02-01 12:00:00,1982-02-02 00:00:00,12.0,,,,167.87678074493616,218.07016775788261 degree,45.101063,14.949462890625
44,9680.0,1.0,1982-02-09 00:00:00,1982-02-10 12:00:00,36.0,,,,299.34217938650016,261.27232533375695 degree,-200.2183,16.6180419921875
